,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000197245.6,102.9106571,-2.311556736,0.135608377,-17.04582555,3.75E-65,3.18E-63
ENSG00000171564.12,6769.430193,8.63297848,0.506690035,17.0379875,4.29E-65,3.63E-63
ENSG00000006047.13,252.5697384,4.749609851,0.279246923,17.00863808,7.09E-65,5.98E-63
ENSG00000087586.18,1042.686371,2.634692472,0.154982033,16.99998655,8.21E-65,6.91E-63
ENSG00000105219.10,183.5656155,4.31289579,0.253764267,16.99567808,8.84E-65,7.42E-63
ENSG00000160949.17,966.0203345,2.121185598,0.124851599,16.98965505,9.80E-65,8.20E-63
ENSG00000011201.12,2457.944714,-2.795215503,0.164624303,-16.97936124,1.17E-64,9.75E-63
ENSG00000249628.3,392.8516488,6.277428205,0.369834149,16.97363052,1.29E-64,1.07E-62
ENSG00000185291.12,607.9771841,-1.723525222,0.101597069,-16.96432034,1.51E-64,1.25E-62
ENSG00000198535.5,722.5873175,4.103834879,0.241989194,16.95875259,1.66E-64,1.37E-62
ENSG00000233539.5,63.39983153,4.895568648,0.288729976,16.9555261,1.75E-64,1.45E-62
ENSG00000138028.16,287.9463095,4.240742238,0.250223287,16.947832,2.00E-64,1.65E-62
ENSG00000151725.12,706.6144583,2.360081306,0.139258797,16.94744867,2.01E-64,1.65E-62
ENSG00000137807.16,796.5662979,2.580201516,0.152325593,16.93872626,2.33E-64,1.91E-62
ENSG00000160182.3,1032.657259,8.133857738,0.480248696,16.93676173,2.41E-64,1.97E-62
ENSG00000138778.13,559.0613075,2.657776325,0.156941051,16.93487024,2.49E-64,2.03E-62
ENSG00000228692.2,4.279262022,-3.46080014,0.204809072,-16.89768966,4.68E-64,3.81E-62
ENSG00000113070.8,1809.593291,-2.576509951,0.152490807,-16.8961658,4.80E-64,3.90E-62
ENSG00000123213.23,1744.073594,1.402209267,0.082992022,16.89571154,4.84E-64,3.92E-62
ENSG00000116771.6,164.3023862,2.596678287,0.153718018,16.89247832,5.11E-64,4.13E-62
ENSG00000150625.16,414.9075693,-4.432708573,0.262450887,-16.88966887,5.36E-64,4.32E-62
ENSG00000162407.9,2648.752934,-1.392684526,0.082458495,-16.88952153,5.37E-64,4.32E-62
ENSG00000108176.15,1121.779085,4.26074936,0.25241451,16.87997004,6.32E-64,5.07E-62
ENSG00000091106.19,268.7466195,-2.064847401,0.122329339,-16.87941271,6.38E-64,5.10E-62
ENSG00000183722.9,1573.087374,-1.709026566,0.10146545,-16.84343352,1.17E-63,9.36E-62
ENSG00000277494.2,407.1588322,-3.707154121,0.220301604,-16.82763109,1.53E-63,1.22E-61
ENSG00000183048.12,361.0667067,2.276150979,0.135345691,16.81731398,1.82E-63,1.45E-61
ENSG00000158246.8,428.6555504,-2.813294107,0.167398224,-16.80599732,2.21E-63,1.75E-61
ENSG00000158089.15,909.9226354,3.668419319,0.21850298,16.78887547,2.94E-63,2.33E-61
ENSG00000254810.1,28.67677935,-2.50099205,0.149044066,-16.78021892,3.41E-63,2.69E-61
ENSG00000114631.11,2222.590693,3.235366667,0.192827587,16.77854666,3.50E-63,2.76E-61
ENSG00000146072.6,8845.171425,1.965961573,0.117337403,16.75477316,5.23E-63,4.10E-61
